Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
FID2,Fiducial,Fiducial_1mm_Mask2mm,122.428000,-151.384000,0.000000,bottom
FID4,Fiducial,Fiducial_1mm_Mask2mm,52.324000,-149.225000,0.000000,bottom
FID6,Fiducial,Fiducial_1mm_Mask2mm,122.428000,-101.854000,0.000000,bottom
U5,LTC1323CSW,SOP-24_7.5x15.4mm_P1.27mm,81.724500,-122.364500,270.000000,bottom
C1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,89.966800,-132.232400,0.000000,top
C2,1uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,64.592200,-146.532600,180.000000,top
C3,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-138.684000,0.000000,top
C4,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-136.779000,180.000000,top
C5,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-134.874000,0.000000,top
C6,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-127.254000,180.000000,top
C7,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-131.064000,0.000000,top
C8,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-129.159000,180.000000,top
C9,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-132.969000,0.000000,top
C10,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,74.066400,-133.908800,180.000000,top
C11,2.2uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.423800,-139.661900,0.000000,top
C12,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.709500,-109.511000,90.000000,top
C13,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,87.884000,-125.539500,270.000000,top
C14,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,86.563200,-128.320800,0.000000,top
C15,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,90.322400,-125.222000,180.000000,top
C16,0.33uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,85.894000,-109.982000,0.000000,top
C17,0.33uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,75.438000,-128.736000,90.000000,top
C18,0.33uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,90.487500,-127.931000,90.000000,top
C19,0.33uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,52.120800,-142.642500,270.000000,top
C20,0.33uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,55.880000,-146.431000,180.000000,top
C21,2.2uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,67.017900,-142.798800,270.000000,top
C22,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,93.980000,-104.494500,270.000000,top
D1,GREEN,LED_0805_2012Metric,71.120000,-103.124000,0.000000,top
